Country Name,Series Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,GDP (constant 2015 US$),7228795919,7867263256,7978515642,8874480196,9349921886,10642671963,11060395116,13426272073,15354612542,15420077666,17386490239,18360263163,18860496494,19134221645,19566715174,20084646751,20323499020,21118473702,20621957125,16345202563,15325233810,
Afghanistan,Trade (% of GDP),,,,,,,,,,,,,,,,,,,46.70989455,51.41171637,72.88546961,
Afghanistan,"Foreign direct investment, net inflows (% of GDP)",1.30694987,1.278493252,3.577104201,4.368673104,3.413772973,1.935701714,0.455360445,0.451889146,1.20311799,0.29302518,0.285440894,0.239801184,0.209664795,0.884000463,0.516606085,0.274796792,0.661572218,0.124495985,0.064993957,0.144401085,,
Afghanistan,"Foreign direct investment, net outflows (% of GDP)",,0.02211926,-0.013397394,0.024180847,,,-0.018972992,0.001990238,-0.007870805,0.006386583,-0.044510497,0.00266707,-9.34E-05,0.011304631,0.077310687,0.060046188,0.21494058,0.140009704,0.18655347,0.215827016,,
Afghanistan,"Tariff rate, applied, simple mean, all products (%)",,,3.86,,6.16,6.18,6.47,,,,6.95,6.95,,,,,8.38,,,,,
Afghanistan,Commercial service exports (current US$),,,,,,,1264403976,1663215828,2097166101,2571297263,1806943055,835605679,1281911085,779433349,441230927.8,314378125.9,621045042.7,504479752.8,597448826.1,,,
Afghanistan,Commercial service imports (current US$),,,,,,,688890546.7,789495791.6,1056503690,1519608094,1735005014,1456533281,1453639267,1172512976,1071779849,1192899876,1311322353,1160038558,1042224098,,,
Afghanistan,Merchandise exports (current US$),100000000,144000000,305000000,384000000,416000000,454000000,540000000,403000000,388000000,376000000,429000000,515000000,570000000,571000000,596000000,723000000,875000000,864000000,777000000,850000000,819000000,903000000
Afghanistan,Merchandise imports (current US$),2452000000,2101000000,2177000000,2471000000,2744000000,3022000000,3020000000,3336000000,5154000000,6515000000,9069000000,8554000000,7729000000,7723000000,6534000000,7065000000,7407000000,6777000000,6538000000,5308000000,5529000000,6064000000
Afghanistan,GDP per capita (constant 2015 US$),344.2241808,347.4152392,338.7393961,363.5414673,367.4858493,410.8616104,418.5231706,490.272834,544.6892941,527.1973365,570.6760614,582.1039759,576.4878173,566.8811297,564.9208406,563.4882365,553.973306,559.140954,529.1449097,407.6165052,372.6158948,
Afghanistan,Gini index,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,"Agriculture, forestry, and fishing, value added (% of GDP)",38.62789186,37.41885544,29.72106714,31.11485491,28.63596858,30.10501136,24.89227001,29.29750105,26.21006854,23.74366399,24.39087363,22.81066274,22.13704137,20.63432272,25.74031404,26.42019908,22.04289675,25.77397074,29.97558252,33.59761887,33.70143232,
Afghanistan,"Industry (including construction), value added (% of GDP)",23.81012701,22.71086418,26.22678975,26.81209923,28.21076807,26.88224161,26.915628,21.89712221,21.1514207,22.74025248,21.15780715,20.44460531,21.22966322,22.12404249,10.46680769,10.051874,13.38724696,14.05811237,12.9525996,14.27365702,16.05036772,
Afghanistan,"Services, value added (% of GDP)",36.1511546,37.44480384,41.11089534,39.00778718,39.83102433,40.29468522,45.40983087,45.24443493,48.87937691,49.6968204,50.57939792,52.68274347,52.99086504,53.2352935,59.02321641,58.32905001,59.47742291,55.47280674,52.57210909,47.16042239,45.0499088,
Afghanistan,Employment in agriculture (% of total employment) (modeled ILO estimate),63.93161499,63.25609059,62.64062405,61.63717504,60.87190568,59.8526541,59.00253992,56.72268908,54.34941986,52.79090999,50.41668839,47.69731471,44.79859397,44.59351627,44.33713653,43.98903105,44.45359961,45.01603987,45.98340782,46.58782301,46.58907003,
Afghanistan,Employment in industry (% of total employment) (modeled ILO estimate),9.719544023,10.12111761,10.45542877,11.07454055,11.53362141,12.01474489,12.41684233,13.74544811,15.02986621,15.7892578,17.14899001,19.53610242,22.04674059,20.71353385,19.29598519,18.02645302,18.14374101,18.22811638,18.48132186,18.63534314,18.34007336,
Afghanistan,Employment in services (% of total employment) (modeled ILO estimate),26.34884099,26.62281225,26.90396679,27.2882844,27.59449081,28.13260101,28.58061775,29.53186281,30.62069781,31.41984752,32.43433604,32.76658286,33.15466544,34.69296261,36.36689077,37.98451593,37.40268373,36.75584375,35.53528275,34.77683385,35.07085661,
Afghanistan,Exports of goods and services (constant LCU),,,,,,,,,,,,,,,,,,,1.61E+11,1.72E+11,2.04E+11,
Afghanistan,Imports of goods and services (constant 2015 US$),,,,,,,,,,,,,,,,,,,,,,
Afghanistan,External balance on goods and services (% of GDP),,,,,,,,,,,,,,,,,,,-25.86826027,-22.72741078,-36.12538481,
Afghanistan,Agricultural raw materials exports (% of merchandise exports),,,,,,,9.894828627,7.559672801,10.76704582,12.8790088,0.236604474,0.036992232,0.047523022,14.79906667,16.35910938,17.06363394,16.69459947,21.03506033,,,,
Afghanistan,Agricultural raw materials imports (% of merchandise imports),,,,,,,1.476686406,,,,,,,,,1.871025292,1.821348719,1.769459716,,,,
Afghanistan,Fuel exports (% of merchandise exports),,,,,,,,,,,,,,3.450455831,,5.234428133,10.21318051,8.051278967,,,,
Afghanistan,Fuel imports (% of merchandise imports),,,,,,,16.145665,23.62490547,20.86021056,34.77309271,24.4565675,16.98009551,19.33986998,21.20918842,15.42791877,11.85152403,13.09206592,22.69543768,,,,
Afghanistan,Food exports (% of merchandise exports),,,,,,,55.41892658,54.6793181,40.04707071,39.14517493,17.43722323,13.63850499,14.49562445,48.45610731,56.91887522,71.1590111,65.89656176,63.85210647,,,,
Afghanistan,Food imports (% of merchandise imports),,,,,,,18.85269783,18.29361609,13.6918478,14.02927085,4.276023446,7.546840204,9.513260533,19.22712365,23.55999765,36.79344574,34.03305766,26.91583891,,,,
Afghanistan,Manufactures exports (% of merchandise exports),,,,,,,34.68426096,18.04329677,19.62655879,14.1181152,16.96401615,14.21933508,14.72193681,15.86260327,6.561714612,4.119626168,3.412005766,4.773740059,,,,
Afghanistan,Manufactures imports (% of merchandise imports),,,,,,,57.62771631,16.66168858,19.08305816,13.72035114,6.573964242,6.999446632,8.407918197,16.50011169,24.5975694,40.70242384,45.22059478,41.08680405,,,,
Afghanistan,Ores and metals exports (% of merchandise exports),,,,,,,,0.137976802,0.275244542,0.305786388,,,,1.065252728,1.124522086,0.838091432,1.209884383,2.199920942,,,,
Afghanistan,Ores and metals imports (% of merchandise imports),,,,,,,4.724575706,0.216327172,0.28199248,0.273661754,,,,0.265449776,0.565414296,2.441887166,1.790341779,1.69384211,,,,
Afghanistan,"Computer, communications and other services (% of commercial service exports)",,,,,,,78.60412554,82.10916213,81.18855853,75.82151903,71.6414823,45.97378898,63.23061162,69.92285205,61.68208032,64.75706379,65.51613352,63.71521974,74.27303344,,,
Afghanistan,"Computer, communications and other services (% of commercial service imports)",,,,,,,17.63595657,22.63776189,19.49218152,22.66551429,27.69308133,15.57716849,22.14397624,9.951415566,7.12335062,5.659176238,9.847585159,8.082422074,6.868970641,,,
Afghanistan,Insurance and financial services (% of commercial service exports),,,,,,,8.374635819,8.752613776,5.730768988,10.39286774,8.51840721,6.117867738,12.84222693,7.759491834,4.561874363,1.972116065,0.818658839,0.795854351,0.432507226,,,
Afghanistan,Insurance and financial services (% of commercial service imports),,,,,,,1.566127165,1.807216639,1.700102593,1.927080373,1.926914118,2.525434429,7.965633523,1.261923796,1.55156064,1.389195954,1.307766319,1.311256123,1.399881224,,,
Afghanistan,Transport services (% of commercial service exports),,,,,,,11.70286915,6.982691274,9.504462615,10.47376849,14.21066422,31.43112871,15.43236355,12.12980327,22.70596337,32.75844871,29.16785066,21.12096711,14.49051023,,,
Afghanistan,Transport services (% of commercial service imports),,,,,,,75.59582391,66.9612331,69.05774301,59.19951294,64.32810308,72.80564379,60.47850052,76.22907614,83.94538494,83.03308388,73.3806766,79.46196623,88.8506563,,,
Afghanistan,Travel services (% of commercial service exports),,,,,,,1.318369489,2.155532822,3.576209866,3.311844744,5.629446271,16.47721457,8.4947979,10.18785284,11.05008195,0.512371434,4.497356977,14.3679588,10.8039491,,,
Afghanistan,Travel services (% of commercial service imports),,,,,,,5.202092357,8.593788375,9.749972877,16.2078924,6.051901466,9.091753295,9.411889722,12.5575845,7.379703801,9.91854393,15.46397192,11.14435557,2.880491838,,,
